"Country","Region","Life_Expectancy","Well_Being","Happy_Life_Years","Environmental_Footprint","Inequality","HappyPlanetIndex","GDP_PC","Population","GINIindex"
"Costa Rica","Americas",79.076,7.3,48.174792179775,2.84,0.145567694423691,44.7140709773574,9733.39693054024,4654148,48.61
"Mexico","Americas",76.411,7.3,44.2620829835636,2.89,0.187698991170799,40.6972922225765,9703.37101717816,122070963,48.07
"Colombia","Americas",73.673,6.4,35.0708927808995,1.87,0.235043952795377,40.6950110203891,7885.06129230214,46881018,53.54
"Vietnam","Asia Pacific",75.477,5.5,32.7702456576982,1.65,0.185920591137127,40.3075893068746,1754.5479738641,88809200,38.7
"Panama","Americas",77.215,6.9,42.0766646651408,2.79,0.189978978183019,39.5025772170607,10138.5211288862,3743761,51.9
"Thailand","Asia Pacific",74.087,6.3,38.6247692988391,2.66,0.150002728650941,37.2901049946857,5917.9179338712,67164130,39.26
"Ecuador","Americas",75.449,6,34.3478941789965,2.17,0.218878837678628,37.0427157141141,5702.16828789377,15419493,46.57
"Norway","Europe",81.281,7.7,57.0535258988533,4.98,0.0685537548906307,36.8270523821674,101563.702677597,5018573,25.9
"Albania","Post-communist",77.347,5.5,34.4147360108721,2.21,0.165133717343957,36.76687443911,4247.48543681502,2900489,28.96
"Uruguay","Americas",76.891,6.4,39.4150588039493,2.91,0.17669974980691,36.1342797674399,15127.6441505167,3396753,41.32
"Spain","Europe",82.192,6.3,45.2716111149354,3.67,0.101492728834622,35.958976738624,28647.8352426892,46773055,35.89
"El Salvador","Americas",72.481,5.9,32.2388950030302,2.07,0.223002528633807,35.6351776532873,3921.72039511659,6072233,41.8
"Netherlands","Europe",81.212,7.5,57.0407893258072,5.28,0.0432207012090508,35.3154509327685,49474.705606422,16754962,27.99
"Argentina","Americas",75.927,6.5,40.1666738745799,3.14,0.164238301077711,35.1902436422946,14357.4115893903,42095224,42.49
"Philippines","Asia Pacific",67.949,5,24.1355708413939,1.1,0.263115516950252,34.9910936666988,2604.65599683702,96017322,43.04
"Peru","Americas",74.089,5.8,32.8564904370304,2.28,0.212018694892542,34.5554615304845,6388.84509785565,30158768,45.11
"Brazil","Americas",73.907,6.9,38.9642957101547,3.11,0.216321529973864,34.3449752476487,12157.3082176473,202401584,52.67
"Switzerland","Europe",82.6,7.8,59.3155227521868,5.79,0.0598639525797147,34.3309696220419,83208.68654235,7996861,31.64
"Sri Lanka","Asia Pacific",74.601,4.2,24.9404639592767,1.32,0.169405551558646,33.7917760781665,3350.68657431235,20424000,38.58
"Kyrgyzstan","Post-communist",69.73,5.2,28.7254749198625,1.91,0.181532473965333,33.0779703859103,1177.97473487848,5607200,27.37
